Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
08/04/2024;INT APLICACAO;Transferência da conta [12860-9];IMP004.52;4001;RECEITA;257000.00;257000.00;C
30/04/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;1631.25;258631.25;C
31/05/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2096.94;260728.19;C
28/06/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2022.36;262750.55;C
31/07/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2338.26;265088.81;C
30/08/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2272.64;267361.45;C
30/09/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2195.42;269556.87;C
25/10/2024;INT RESGATE IDSELICEMP;Transferência para conta [12860-9];IMP004.52;4001;DESPESA;14522.57;255034.30;C
31/10/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2442.44;257476.74;C
29/11/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2026.34;259503.08;C
31/12/2024;SIMPLES EMP RF;RENDIMENTO MENSAL APLICAÇÃO SI MPLES SELIC EMP RF;IMP004.50;4001;RECEITA;2277.20;261780.28;C
