Data;Documento;Historico;Classificacao;CentroCusto;Tipo;Valor;SaldoFinal;SinalSaldo
04/01/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;6700.00;2559022.81;C
11/01/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;94600.00;2464422.81;C
18/01/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;46300.00;2418122.81;C
31/01/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;12624.72;2430747.53;C
31/01/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;12624.72;2443372.25;C
08/02/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;142000.00;2301372.25;C
29/02/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;10328.68;2311700.94;C
29/02/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;10328.68;2322029.62;C
31/03/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;10242.00;2332271.62;C
31/03/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;10242.00;2342513.62;C
01/04/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;42000.00;2300513.62;C
30/04/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;10476.88;2310990.50;C
30/04/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;10476.88;2321467.37;C
06/05/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;7500.00;2313967.37;C
27/05/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;88697.05;2225270.32;C
31/05/2024;INT APLICAÇÃO;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;RECEITA;24819.96;2250090.28;C
31/05/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;10883.66;2260973.94;C
31/05/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;10883.66;2271857.59;C
19/06/2024;INT APLICACAO;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;RECEITA;139254.49;2411112.08;C
25/06/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;100248.89;2310863.19;C
28/06/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;9475.50;2320338.69;C
28/06/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;9475.50;2329814.20;C
02/07/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;9137.16;2320677.04;C
08/07/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;26291.92;2294385.12;C
09/07/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;14927.01;2279458.11;C
24/07/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;100250.00;2179208.11;C
31/07/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;11090.19;2190298.30;C
31/07/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;11090.19;2201388.49;C
06/08/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;15600.00;2185788.49;C
12/08/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;200.00;2185588.49;C
12/08/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;16374.68;2169213.81;C
21/08/2024;INT RESGATE;Transferência para conta [14288-1];PROJ001.1.3.01.01;1033;DESPESA;65000.00;2104213.81;C
31/08/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;10098.66;2114312.46;C
31/08/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;10098.66;2124411.12;C
25/09/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;5000.00;2119411.12;C
30/09/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;9061.57;2128472.69;C
30/09/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;9061.57;2137534.25;C
17/10/2024;INT APLICACAO;Transferência da conta [14288-1] - IN T APLICACAO TRUST DI;PROJ002.1.3.01.01;1033;RECEITA;650000.00;2787534.25;C
24/10/2024;INT RESGATE TRUST DI;Transferência para conta [14288-1] - I NT RESGATE TRUST DI;PROJ002.1.3.01.01;1033;DESPESA;36000.00;2751534.25;C
31/10/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;11185.27;2762719.52;C
31/10/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;11185.27;2773904.79;C
30/11/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;11213.58;2785118.37;C
30/11/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;11213.58;2796331.94;C
18/12/2024;INT RESGATE;Transferência para conta [14288-1] - I NT RESGATE TRUST;PROJ001.1.3.01.01;1033;DESPESA;68000.00;2728331.94;C
31/12/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ001.1.3.01.02;1033;RECEITA;11488.86;2739820.80;C
31/12/2024;REND TRUST DI;RENDIMENTO MENSAL DE APLICAÇÃO TRUST;PROJ002.1.3.01.02;1033;RECEITA;11488.86;2751309.66;C
